,title,location,price(L),rate_persqft,area_insqft,building_status,agent_rating
16247,3 BHK Apartment,Serilingampally,153.0,6023,2540,Ready to move,4.9
16248,3 BHK Apartment,Serilingampally,153.0,6000,2550,Ready to move,4.9
16249,3 BHK Apartment,Kondapur,84.36,5700,1480,Ready to move,4.2
16250,2 BHK Apartment,Alwal,49.78,3800,1310,Under Construction,4.5
16251,Residential Plot,Bolarum,47.56,3500,1359,New,4.9
16252,Residential Plot,Alwal,47.56,3500,1359,New,4.9
16253,3 BHK Apartment,Kothaguda,155.0,5783,2680,Ready to move,4.7
16254,Residential Plot,Maheshwaram,23.58,988,2385,New,4.2
16255,3 BHK Apartment,Kukatpally,143.0,7721,1852,Under Construction,4.8
16256,Residential Plot,Yadagirigutta,8.25,743,1110,New,4.3
16257,Residential Plot,Yadagirigutta,8.8,833,1056,New,4.3
16258,Residential Plot,Choutuppal,15.2,844,1800,New,4.5
16259,2 BHK Apartment,Kompally,43.2,4000,1080,Under Construction,3.9
16260,2 BHK Independent House,Mallampet,65.0,5200,1250,Under Construction,0.0
16261,2 BHK Apartment,J K Nagar,25.0,3846,650,Ready to move,0.0
16262,2 BHK Apartment,Miyapur,54.98,4761,1155,Ready to move,0.0
16263,4 BHK Independent Floor,Banjara Hills,120.0,7500,1600,Ready to move,0.0
16264,3 BHK Apartment,Panchavati Complex,75.0,5033,1490,Ready to move,0.0
16265,2 BHK Independent House,Beeramguda,69.0,4600,1500,Under Construction,0.0
16266,3 BHK Apartment,Tellapur,89.0,4749,1874,Ready to move,0.0
16267,3 BHK Apartment,Puppalaguda,65.0,4012,1620,Under Construction,0.0
16268,2 BHK Apartment,Manikonda,80.0,5563,1438,Ready to move,0.0
16269,6 BHK Independent Floor,Syed Ali Guda,90.0,3157,2850,Ready to move,0.0
16270,5 BHK Apartment,Tellapur,200.0,5096,3924,Ready to move,0.0
16271,3 BHK Apartment,Tellapur,89.43,6513,1373,Under Construction,0.0
16272,2 BHK Apartment,Gajularamaram,48.0,4363,1100,Under Construction,0.0
16273,3 BHK Apartment,Kondapur,62.0,2786,2225,Ready to move,0.0
16274,2 BHK Independent House,B N reddy nagar,85.0,10000,850,Ready to move,0.0
16275,3 BHK Apartment,Kukatpally,143.0,7721,1852,Under Construction,0.0
16276,3 BHK Apartment,Kukatpally,142.0,7709,1842,Under Construction,0.0
16277,Residential Plot,Yadagirigutta,8.25,743,1110,New,0.0
16278,Residential Plot,Yadagirigutta,8.8,833,1056,New,4.9
16279,Residential Plot,Yadagirigutta,8.8,833,1056,New,3.1
16280,Residential Plot,Choutuppal,15.2,844,1800,New,0.0
16281,2 BHK Apartment,Kompally,43.2,4000,1080,Under Construction,4.0
16282,2 BHK Independent House,Mallampet,65.0,5200,1250,Under Construction,4.3
16283,2 BHK Apartment,J K Nagar,25.0,3846,650,Ready to move,4.3
16284,2 BHK Apartment,Miyapur,54.98,4761,1155,Ready to move,4.3
16285,4 BHK Independent Floor,Banjara Hills,120.0,7500,1600,Ready to move,4.8
16286,2 BHK Apartment,Tellapur,65.0,5793,1122,Under Construction,4.8
16287,3 BHK Apartment,Panchavati Complex,75.0,5033,1490,Ready to move,4.8
16288,2 BHK Independent House,Beeramguda,69.0,4600,1500,Under Construction,4.2
